Start Time,End Time,Original,Translation,English Translation,Score,Comment
1900-01-01 00:00:35,1900-01-01 00:00:38,"My mom and I don't know about the restaurant business,","mijn moeder en ik weten niet over het restaurant ,","my mom and i don't know about the restaurant ,",2,"The last word ""business"" is missing."
1900-01-01 00:00:38,1900-01-01 00:00:42,and so we put a lot of trust in my sister's experience,we hebben veel vertrouwen in mijn zus ervaring .,we have a lot of trust in my sister .,2,"Instead of ""have"" it should be ""so we put."""
1900-01-01 00:00:42,1900-01-01 00:00:44,to run the restaurant.,naar het restaurant .,to the restaurant .,2,"The second word ""run"" is missing."
1900-01-01 00:00:44,1900-01-01 00:00:46,Are we going to have enough bread for tonight?,moeten we het [UNK] vanavond [UNK] ?,should we [UNK] the [UNK] tonight ?,1,Many [UNK] present and the beginning of the sentence is wrong.
1900-01-01 00:00:46,1900-01-01 00:00:47,Of course.,natuurlijk .,of course .,3,
1900-01-01 00:00:47,1900-01-01 00:00:49,"When I took over the restaurant,","toen ik over het restaurant kwam ,","when i came to the restaurant ,",1,"The word ""came"" should be ""took over."""
1900-01-01 00:00:49,1900-01-01 00:00:52,I didn't want to change the menu or the chef.,ik wilde het menu of de chef [UNK] .,i wanted the menu or [UNK] .,1,The whole sentence is translated differently and the meaning was lost.
1900-01-01 00:00:52,1900-01-01 00:00:54,I just wanted to keep it as is,ik wilde het zo houden .,i wanted to keep it .,2,"""just"" is missing."
1900-01-01 00:00:54,1900-01-01 00:00:56,because I love this restaurant.,want ik hou van dit restaurant .,because i like this restaurant .,2,"""like"" should be ""love."""
1900-01-01 00:00:56,1900-01-01 00:00:58,How are we doing?,hoe gaat het met ons ?,how are we doing ?,3,
1900-01-01 00:00:58,1900-01-01 00:00:59,That's not good.,dat is niet goed .,that's not good .,3,
1900-01-01 00:00:59,1900-01-01 00:01:02,But it didn't pan out the way I wanted it to.,maar ik wilde het niet [UNK] .,but i didn't want it .,1,The whole sentence is different.
1900-01-01 00:01:05,1900-01-01 00:01:07,"I mean, I could sit here all day",ik kan hier niet zitten,i can't sit down,1,The whole sentence is different.
1900-01-01 00:01:07,1900-01-01 00:01:09,and have maybe 4 tables at the most.,en misschien bij de [UNK] .,and maybe with the [UNK] .,1,The whole sentence is different.
1900-01-01 00:01:09,1900-01-01 00:01:11,"How many tables did you have, Jen?","hoeveel [UNK] heb je [UNK] , jen ?","how many [UNK] you got , jen ?",2,"It couldn't translate ""tables"" and ""got"" should be ""have."""
1900-01-01 00:01:11,1900-01-01 00:01:12,I only had one.,ik heb er maar één gehad .,i've only had one .,2,"Missed the word ""have""."
1900-01-01 00:01:12,1900-01-01 00:01:15,That doesn't even pay for the costs,dat betaalt niet eens voor het [UNK],that doesn't pay for the [UNK],2,"The word ""even"" is missing and it couldn't translate ""costs."""
1900-01-01 00:01:15,1900-01-01 00:01:17,of just running electricity.,voor [UNK] .,for [UNK] .,1,The whole sentence is different.
1900-01-01 00:01:17,1900-01-01 00:01:19,Who's going to bring the people in?,wie gaat de mensen binnen brengen ?,who's going into the people inside ?,1,"""into"" should be ""to bring"" and ""inside"" should be ""in."""
1900-01-01 00:01:19,1900-01-01 00:01:20,I don't know.,ik weet het niet .,i don't know .,3,
1900-01-01 00:01:20,1900-01-01 00:01:24,The problem with the restaurant is Tatiana.,het probleem met het restaurant is [UNK] .,the problem with the restaurant is [UNK] .,2,It couldn't translate the name.
1900-01-01 00:01:24,1900-01-01 00:01:26,Tatiana.,[UNK] .,[UNK] .,2,It couldn't translate the name.
1900-01-01 00:01:28,1900-01-01 00:01:29,The fact that she feels like,het voelt alsof ze het voelt . . .,it feels like she feels it . . .,1,The whole sentence is different.
1900-01-01 00:01:29,1900-01-01 00:01:31,"she doesn't have to change things,",ze moet dingen veranderen .,they have to change things .,1,"""they"" should be ""she"" and there should be negation present."
1900-01-01 00:01:31,1900-01-01 00:01:32,it's ridiculous.,het is belachelijk .,it's ridiculous .,3,
1900-01-01 00:01:32,1900-01-01 00:01:33,They don't like this tiramisu?,ze vinden deze [UNK] niet leuk ?,they don't like this [UNK] ?,2,"Couldn't translate the word ""tiramisu."""
1900-01-01 00:01:33,1900-01-01 00:01:35,"No, they're crazy.","nee , ze zijn gek .","no , they're crazy .",3,
1900-01-01 00:01:35,1900-01-01 00:01:38,It's the best tiramisu I've ever had in my life.,het is het beste dat ik ooit in mijn leven heb gehad .,it's best that i've ever had in my life .,2,"Couldn't translate the word ""tiramisu."""
1900-01-01 00:01:38,1900-01-01 00:01:43,"The food, um, oh, it's disgusting.",het eten is walgelijk .,food is disgusting .,2,"Missed filler words ""um"" and ""oh."""
1900-01-01 00:01:43,1900-01-01 00:01:45,Casamero is our head chef.,[UNK] is onze hoofd .,[UNK] is our head .,2,"It couldn't translate the name and missed the word ""chef."""
1900-01-01 00:01:45,1900-01-01 00:01:48,"He's been here for 14 years,",hij is hier 14 jaar geweest .,he's been 14 years around here .,2,"""around"" shouldn't be present."
1900-01-01 00:01:48,1900-01-01 00:01:51,and he's pretty awful.,en hij is mooi .,and he's beautiful .,1,"""beautiful"" should be ""pretty awful."""
1900-01-01 00:01:52,1900-01-01 00:01:54,"It's a little chewier, actually.","het is een beetje [UNK] , eigenlijk .","it's a little [UNK] , actually .",2,"It couldn't translate the word ""chewier."""
1900-01-01 00:01:54,1900-01-01 00:01:56,"Basically, the restaurant's suffering for it.",de [UNK] lijden it .,the [UNK] suffering .,1,"It missed the first half of the sentence and couldn't translate ""restaurant."""
1900-01-01 00:01:56,1900-01-01 00:01:58,Do we have any tables that are happy?,hebben we ook [UNK] die gelukkig zijn ?,are we too happy ?,1,The whole sentence is different.
1900-01-01 00:02:00,1900-01-01 00:02:03,"When Tatiana manages the restaurant,","als [UNK] het restaurant [UNK] ,","as [UNK] the restaurant , [UNK] ,",1,The whole sentence is different.
1900-01-01 00:02:03,1900-01-01 00:02:05,usually that consists of standing around,meestal dat [UNK] de [UNK] rond,usually that [UNK] around the [UNK],2,Many [UNK] present. Couldn't translate some rare words.
1900-01-01 00:02:05,1900-01-01 00:02:07,with a glass of wine in her hand.,met een glas van haar hand .,with a glass of her hand .,2,"Missed ""of wine"" and instead of ""of"" there should be ""in."""
1900-01-01 00:02:07,1900-01-01 00:02:08,All right.,oké .,okay .,1,"Lost in translation from dutch, the phrase is different but has the same meaning."
1900-01-01 00:02:08,1900-01-01 00:02:09,She's very disrespectful.,ze is erg [UNK] .,she's very [UNK] .,2,"Couldn't translate the word ""disrespectful."""
1900-01-01 00:02:09,1900-01-01 00:02:11,You're talking out of your ass.,je praat met je kont .,you talk to your ass .,1,The whole sentence is different.
1900-01-01 00:02:11,1900-01-01 00:02:12,Rude.,grof .,[UNK] .,2,"Couldn't trasnlate ""rude."""
1900-01-01 00:02:12,1900-01-01 00:02:13,Stop it.,hou op .,stop it !,3,
1900-01-01 00:02:13,1900-01-01 00:02:14,I told you.,ik zei het je .,i said you .,2,"""said"" should be ""told."""
1900-01-01 00:02:14,1900-01-01 00:02:15,Most people end up crying.,de meeste mensen volgen .,most people are following people .,1,The whole sentence is different.
1900-01-01 00:02:15,1900-01-01 00:02:17,Don't you dare.,waag het niet .,don't you dare .,3,
1900-01-01 00:02:18,1900-01-01 00:02:20,I need a drink.,ik heb een drankje nodig .,i need a drink .,3,
1900-01-01 00:02:20,1900-01-01 00:02:23,Tatiana doesn't know how to handle being an owner.,[UNK] weet niet hoe het een eigenaar is .,[UNK] don't know how the owner is .,1,The whole sentence is different.
1900-01-01 00:02:23,1900-01-01 00:02:25,"Don't drink so much, okay?","drink niet zoveel , oké ?","don't drink so much , okay ?",3,
1900-01-01 00:02:25,1900-01-01 00:02:27,My mom and my sister already resent me,mijn moeder en mijn zus heeft me al [UNK] .,my mom and my sister has already [UNK] me .,2,"Couldn't translate the word ""resent."""
1900-01-01 00:02:27,1900-01-01 00:02:29,for asking them to put their houses on the line.,om hun [UNK] in de rij te zetten .,to put them in the row .,1,The whole sentence is different.
1900-01-01 00:02:29,1900-01-01 00:02:31,I don't know how we're gonna make it this month.,ik weet niet hoe we het moeten maken .,i don't know how to do it .,1,The whole sentence is different.
1900-01-01 00:02:31,1900-01-01 00:02:33,They play the blame game.,ze spelen het schuld .,they're playing it .,1,The whole sentence is different.
1900-01-01 00:02:33,1900-01-01 00:02:34,This is Tatiana's fault.,dit is [UNK] fout .,this is [UNK] wrong .,1,It couldn't translate the name.
1900-01-01 00:02:34,1900-01-01 00:02:37,We wouldn't be in this mess if it wasn't for Tatiana.,we zouden hier geen rotzooi zijn als het niet was .,we wouldn't be a mess here if it wasn't .,1,It couldn't translate the name and changed the structure of the sentence.
1900-01-01 00:02:37,1900-01-01 00:02:39,But they didn't put a gun to their head.,maar ze hebben geen pistool met hun hoofd [UNK] .,but they didn't have a gun with their head .,2,"""have"" should be ""put"" and ""with should be ""to."""
1900-01-01 00:02:39,1900-01-01 00:02:41,What are we going to do now?,wat gaan we nu doen ?,what are we going to do now ?,3,
1900-01-01 00:02:41,1900-01-01 00:02:43,"If we don't get more customers,","als we niet meer klanten hebben ,","if we don't have any customers again ,",2,"The words ""have any"" should be ""get"" and the word ""again"" shouldn't be there."
1900-01-01 00:02:43,1900-01-01 00:02:45,we will lose our houses.,we gaan onze huizen verliezen .,we're going to lose our houses .,2,"""going to"" should be ""will."""
1900-01-01 00:02:45,1900-01-01 00:02:47,It is very serious.,het is serieus .,it's serious .,2,"Missed the word ""very."""
1900-01-01 00:02:48,1900-01-01 00:02:51,I really need Chef Ramsay's help.,ik heb [UNK] hulp nodig .,i need [UNK] help .,2,It couldn't translate the name.
1900-01-01 00:02:51,1900-01-01 00:02:53,"Oh, I'm scared what's going to happen.","oh , ik ben bang wat er gaande is .","oh , i'm afraid what's going on .",1,"The word ""afraid"" should be ""scared"" and ""on"" should be ""to happen."""
1900-01-01 00:02:53,1900-01-01 00:02:56,"I just don't understand, like, what else I can do.","ik begrijp het gewoon niet , zoals ik kan .","i just don't understand , like i can .",1,"It missed the phrase ""what else"" and the word ""do."""
1900-01-01 00:03:04,1900-01-01 00:03:07,A rare rainy day in California.,een zeldzaam [UNK] dag in californië .,a rare day in california .,2,"It missed the word ""rainy."""
1900-01-01 00:03:07,1900-01-01 00:03:10,What better way to pick you up than a nice lunch?,hoe kun je je liever [UNK] ophalen ?,how can you pick up [UNK] [UNK] ?,1,Many [UNK] present and the beginning of the sentence is wrong.
1900-01-01 00:03:10,1900-01-01 00:03:12,"Right, Charlie's Italian food.","ja , [UNK] eten .","yeah , [UNK] food .",1,"It couldn't translate ""Charlie's Italian"" and instead of ""yeah"" there should be ""right."""
1900-01-01 00:03:13,1900-01-01 00:03:15,Hi.,hoi .,hi .,3,
1900-01-01 00:03:15,1900-01-01 00:03:19,"When Chef walked in, I just laughed.",toen liep het [UNK] .,then the [UNK] started .,1,The whole sentence is different.
1900-01-01 00:03:19,1900-01-01 00:03:21,"Because that's what, I don't know what to do",want dat is wat ik weet . . .,because that's what i know . . .,1,The second half of the sentence is different.
1900-01-01 00:03:21,1900-01-01 00:03:23,with this nervous energy and this anxiety.,tot deze [UNK] .,to these [UNK] .,1,The whole sentence is different.
1900-01-01 00:03:23,1900-01-01 00:03:24,How are you?,hoe gaat het ?,how are you ?,3,
1900-01-01 00:03:24,1900-01-01 00:03:26,"Oh, my gosh.","oh , mijn god .","oh , my god .",2,"""god"" should be slang word ""gosh."""
1900-01-01 00:03:26,1900-01-01 00:03:27,And this is?,en dit is ?,and this is ?,3,
1900-01-01 00:03:27,1900-01-01 00:03:28,Tatiana.,[UNK] .,[UNK] .,1,It couldn't translate the name.
1900-01-01 00:03:28,1900-01-01 00:03:29,Tatiana.,[UNK] .,[UNK] .,1,It couldn't translate the name.
1900-01-01 00:03:29,1900-01-01 00:03:30,Yeah.,ja .,yeah .,3,
1900-01-01 00:03:30,1900-01-01 00:03:31,Is Charlie in?,is charlie in ?,is charlie in ?,3,
1900-01-01 00:03:31,1900-01-01 00:03:32,"No, he's not.","nee , hij is het niet .","no , it's not .",2,"Instead of ""it"" there should be ""he."""
1900-01-01 00:03:32,1900-01-01 00:03:33,"Okay, the restaurant's called Charlie.",de [UNK] heet charlie .,the [UNK] name is charlie .,1,The whole sentence is different.
1900-01-01 00:03:33,1900-01-01 00:03:34,Who is he?,wie is hij ?,who is he ?,3,
1900-01-01 00:03:34,1900-01-01 00:03:35,Charlie was the original owner.,charlie was de [UNK] eigenaar .,charlie was the [UNK] owner .,2,"It couldn't translate the word ""original."""
1900-01-01 00:03:35,1900-01-01 00:03:36,Charlie owned it.,charlie bracht het door .,charlie took it .,2,"""took"" should be ""owned."""
1900-01-01 00:03:36,1900-01-01 00:03:37,Charlie owned it.,charlie bracht het door .,charlie took it .,2,"""took"" should be ""owned."""
1900-01-01 00:03:37,1900-01-01 00:03:38,So there's no Charlie?,dus er is geen charlie ?,so there's no charlie ?,3,
1900-01-01 00:03:38,1900-01-01 00:03:39,"No, no.","nee , nee .","no , no .",3,
1900-01-01 00:03:39,1900-01-01 00:03:40,I used to work here as a waitress.,ik werk hier als een [UNK] .,i work here like a [UNK] .,1,"It missed the words ""used to"" and couldn't translate ""waitress."""
1900-01-01 00:03:40,1900-01-01 00:03:41,"Oh, okay.",oké .,okay .,2,"Missed the filler word ""oh."""
1900-01-01 00:03:41,1900-01-01 00:03:42,When Charlie owned it.,toen charlie het [UNK] .,when charlie died .,1,"""died"" should be ""owned it."""
1900-01-01 00:03:42,1900-01-01 00:03:44,And then he sold it to another person named Simon.,en toen verkocht hij de andere persoon op simon .,and then he sold the other person on simon .,1,"""the other"" should be ""to another"" and ""on"" should be ""named."""
1900-01-01 00:03:44,1900-01-01 00:03:45,"Okay, great.",prima .,fine .,1,Used different word due to the dutch translation.
1900-01-01 00:03:45,1900-01-01 00:03:47,"And then when Simon ran this into the ground, he dumped it.",en toen kwam simon in de grond in .,and then simon came in the ground .,1,The whole sentence is different.
1900-01-01 00:03:47,1900-01-01 00:03:48,Simon bought it off Charlie.,simon is [UNK] .,simon is [UNK] .,1,The whole sentence is different.
1900-01-01 00:03:48,1900-01-01 00:03:49,Mm-hmm.,leuk ?,nice ?,1,Couldn't translate the filler word.
1900-01-01 00:03:49,1900-01-01 00:03:51,And then dumped it on you.,en daarna is het op je .,and then it was on you .,1,"""was"" should be ""dumped it."""
1900-01-01 00:03:51,1900-01-01 00:03:52,Just dumped it in general.,- er is het in generaal gedumpt .,- there's been dumped in general .,1,"""there's been"" should be ""just."""
1900-01-01 00:03:52,1900-01-01 00:03:55,And then I took it over because I love this restaurant.,en toen nam ik het over want ik hou van dit restaurant .,and then i took it over because i love this restaurant .,3,
1900-01-01 00:03:55,1900-01-01 00:03:57,We took it over.,we hebben het [UNK] .,we [UNK] the [UNK] .,1,Many [UNK] present in the sentence.
1900-01-01 00:03:57,1900-01-01 00:03:58,My mom and my sister.,mijn moeder en mijn zus .,my mom and my sister .,3,
1900-01-01 00:03:58,1900-01-01 00:03:59,"Oh, is it?","o , is het het ?","oh , is it it ?",3,
1900-01-01 00:03:59,1900-01-01 00:04:00,Yeah.,ja .,yeah .,3,
1900-01-01 00:04:00,1900-01-01 00:04:01,"Caprice, hello.","[UNK] , hallo .","[UNK] , hello .",2,Couldn't translate the name.
1900-01-01 00:04:01,1900-01-01 00:04:02,I'm Val.,ik val dood .,i'm dying .,1,Couldn't translate the name.
1900-01-01 00:04:02,1900-01-01 00:04:03,"Val, nice to see you, darling.","val , leuk je te zien .","fuck you , you know , nice to see you .",1,The whole sentence is different.
1900-01-01 00:04:03,1900-01-01 00:04:04,Nice to meet you.,aangenaam .,nice to meet you .,3,
1900-01-01 00:04:04,1900-01-01 00:04:05,And this is?,en dit is ?,and this is ?,3,
1900-01-01 00:04:05,1900-01-01 00:04:06,I'm Pat.,ik zet [UNK] .,i'm [UNK] .,2,Couldn't translate the name.
1900-01-01 00:04:06,1900-01-01 00:04:07,"Pat, nice to see you, my darling.","[UNK] , leuk je te zien , schat .","[UNK] , nice to see you , honey .",2,Couldn't translate the name.
1900-01-01 00:04:07,1900-01-01 00:04:08,"Why don't you come over, Val and Mom.","waarom kom je niet meer , val en moeder .","why don't you come out again , val and mother ?",2,"""come out again"" should be ""come over."""
1900-01-01 00:04:08,1900-01-01 00:04:09,Be nice to the kids.,wees blij voor de kinderen .,be happy for the kids .,1,"""happy for"" should be ""nice to."""
1900-01-01 00:04:09,1900-01-01 00:04:10,"And Mom, it would be nice to catch up","en mam , het zou leuk zijn om [UNK] te pakken","and mom , it would be fun to get [UNK]",2,"Couldn't translate ""catch up."""
1900-01-01 00:04:10,1900-01-01 00:04:11,and get up to speed with what's happening.,en maak je [UNK] om wat er gebeurt .,and you make [UNK] to what happens .,1,The whole sentence is different.
1900-01-01 00:04:11,1900-01-01 00:04:12,When can we go somewhere quiet?,wanneer kunnen we ergens naartoe ?,when can we go somewhere ?,2,"It missed the word ""quiet."""
1900-01-01 00:04:12,1900-01-01 00:04:13,We can go outside if you'd like.,we kunnen naar buiten gaan als je wilt .,we can go outside if you want .,2,"The phrase ""if you want"" should be ""if you'd like."""
1900-01-01 00:04:13,1900-01-01 00:04:14,Shall we?,zullen we ?,shall we ?,3,
1900-01-01 00:04:14,1900-01-01 00:04:15,Let's go outside.,laten we naar buiten gaan .,let's go outside .,3,
1900-01-01 00:04:15,1900-01-01 00:04:16,Excellent.,uitstekend .,excellent .,3,
1900-01-01 00:04:16,1900-01-01 00:04:18,Tatiana needs to learn effective ways,[UNK] moet [UNK] leren .,[UNK] must learn to learn [UNK] .,2,"Many [UNK] present in the sentence and it couldn't translate ""effective ways."""
1900-01-01 00:04:18,1900-01-01 00:04:20,of doing things around here.,de dingen doen hier .,things are here .,1,"Missed ""of doing"" and ""around."""
1900-01-01 00:04:20,1900-01-01 00:04:23,"So, and first of all, it's so important","dus , en voor alles is het belangrijk","so , and for all it's important",1,"Missed words ""first"" and ""so."""
1900-01-01 00:04:23,1900-01-01 00:04:26,that I catch up with what's been happening.,dat ik [UNK] met wat er gebeurt .,that's what i do .,1,The whole sentence is different.
1900-01-01 00:04:26,1900-01-01 00:04:29,Whose idea was this to run a restaurant?,van wie idee was dit om een restaurant te lopen ?,who was this to run a restaurant ?,2,"The phrase ""who was this"" should be ""whose idea was this."""
1900-01-01 00:04:29,1900-01-01 00:04:31,Her dream.,haar droom .,her dream .,3,
1900-01-01 00:04:31,1900-01-01 00:04:33,I've loved this restaurant.,ik hou van dit restaurant .,i love this restaurant .,2,The tense should be different.
1900-01-01 00:04:33,1900-01-01 00:04:35,I've worked here since I was 20 years old.,ik heb hier gewerkt sinds ik 20 jaar oud was .,i've worked here since i was 20 years old .,3,
1900-01-01 00:04:35,1900-01-01 00:04:37,Whenever working in a business to running a business,wanneer werkt in een zaak,when works in a business,1,The whole sentence is different.
1900-01-01 00:04:37,1900-01-01 00:04:38,is completely different scenario.,[UNK] .,[UNK] .,1,It couldn't translate anything.
1900-01-01 00:04:38,1900-01-01 00:04:39,"Yeah, it's completely different.","ja , het is helemaal anders .","yeah , it's totally different .",2,"""totally"" should be ""completely."""
1900-01-01 00:04:39,1900-01-01 00:04:41,OK.,oké .,okay .,3,
1900-01-01 00:04:41,1900-01-01 00:04:43,How much money did you need to get on the table,hoeveel geld heb je nodig .,how many money you need .,1,The whole sentence is different.
1900-01-01 00:04:43,1900-01-01 00:04:44,before you took over?,voor u [UNK] ?,for you [UNK] ?,1,The whole sentence is different.
1900-01-01 00:04:44,1900-01-01 00:04:47,Mom put all her retirement money into it.,mama heeft haar [UNK] in het [UNK] .,mom [UNK] her in the [UNK] .,1,Too many [UNK] present in the sentence.
1900-01-01 00:04:47,1900-01-01 00:04:48,Really?,echt ?,really ?,3,
1900-01-01 00:04:48,1900-01-01 00:04:49,I put all that together.,ik zet dat allemaal samen .,i'll turn that together .,1,"""turn"" should be ""put all."""
1900-01-01 00:04:49,1900-01-01 00:04:51,"You know, the house and her house.","weet je , het huis en haar huis .","you know , the house and her house .",3,
1900-01-01 00:04:51,1900-01-01 00:04:52,"My condo, yeah.","mijn [UNK] , ja .","my [UNK] , yes .",2,"Couldn't translate the word ""condo"" and translated ""yeah"" wrongly due to the dutch translation."
1900-01-01 00:04:52,1900-01-01 00:04:56,"So as the restaurant goes, your houses go.","net als het restaurant gaat , je huizen gaan .","like the restaurant is going , you go around .",1,The whole sentence is different.
1900-01-01 00:04:56,1900-01-01 00:04:57,Wow.,wauw .,wow .,3,
1900-01-01 00:04:57,1900-01-01 00:04:59,And how much money did you put in?,hoeveel geld heb je gedaan ?,how many money did you do ?,,
1900-01-01 00:04:59,1900-01-01 00:05:02,"Probably like $1,000.",waarschijnlijk [UNK] dollar .,probably [UNK] dollars .,,
1900-01-01 00:05:02,1900-01-01 00:05:03,OK.,oké .,okay .,,
1900-01-01 00:05:03,1900-01-01 00:05:04,"Financially, where are we?","[UNK] , waar zijn we ?","[UNK] , where are we ?",,
1900-01-01 00:05:04,1900-01-01 00:05:06,The restaurant's in debt at this point.,de [UNK] ligt op dit moment .,the [UNK] is at this time .,,
1900-01-01 00:05:06,1900-01-01 00:05:07,That's not good.,dat is niet goed .,that's not good .,,
1900-01-01 00:05:07,1900-01-01 00:05:09,And who makes the decisions here?,en wie maakt de besluit hier ?,and who does the decision here ?,,
1900-01-01 00:05:09,1900-01-01 00:05:10,Tatiana.,[UNK] .,[UNK] .,,
1900-01-01 00:05:10,1900-01-01 00:05:12,"Well, they have other jobs as well.","nou , ze hebben andere jobs .","well , they have another jobs .",,
1900-01-01 00:05:12,1900-01-01 00:05:13,"So you have a full-time job, and you come",dus je hebt een [UNK] baan .,so you have a [UNK] job .,,
1900-01-01 00:05:13,1900-01-01 00:05:14,in here to run the restaurant?,in de [UNK] ?,in the [UNK] ?,,
1900-01-01 00:05:14,1900-01-01 00:05:15,Right.,juist .,right .,,
1900-01-01 00:05:15,1900-01-01 00:05:16,Wow.,wauw .,wow .,,
1900-01-01 00:05:16,1900-01-01 00:05:17,So what's gone wrong then?,wat is er dan mis ?,what is wrong ?,,
1900-01-01 00:05:17,1900-01-01 00:05:18,I don't know.,ik weet het niet .,i don't know .,,
1900-01-01 00:05:18,1900-01-01 00:05:20,You don't know?,weet je het niet ?,you don't know ?,,
1900-01-01 00:05:20,1900-01-01 00:05:21,Wow.,wauw .,wow .,,
1900-01-01 00:05:21,1900-01-01 00:05:24,So then what's the changes you made when you bought it?,wat heb jij veranderd ?,what did you change ?,,
1900-01-01 00:05:24,1900-01-01 00:05:26,Nothing changed.,niets verandert .,nothing changes .,,
1900-01-01 00:05:26,1900-01-01 00:05:27,OK.,oké .,okay .,,
1900-01-01 00:05:27,1900-01-01 00:05:29,"So Simon ran it in a bad way, didn't",simon maakte het in een slechte manier .,simon made it in a poor way .,,
1900-01-01 00:05:29,1900-01-01 00:05:32,"give a shit about the customers, and it was appallingly led.",geef een shit over de klanten en het werd [UNK] .,give me a shit about the customers .,,
1900-01-01 00:05:32,1900-01-01 00:05:34,But you haven't changed anything.,maar je bent niet veranderd .,but you haven't changed .,,
1900-01-01 00:05:34,1900-01-01 00:05:35,That's been a major issue.,dat is een probleem geweest .,that's a problem .,,
1900-01-01 00:05:36,1900-01-01 00:05:38,"Help me understand, because I'm confused.",help me . want ik zit in de war .,help me because i'm in the oorlog .,,
1900-01-01 00:05:38,1900-01-01 00:05:43,"The risk is little on your side, yet mama for you.","het risico is kleine aan je kant , al mama voor je .","it's little [UNK] on your side , all your mama .",,
1900-01-01 00:05:43,1900-01-01 00:05:45,"And yet, you're not even in control of the business.",en toch zit je niet eens in de [UNK] .,and you're not even in the [UNK] .,,
1900-01-01 00:05:45,1900-01-01 00:05:46,Right.,juist .,right .,,
1900-01-01 00:05:46,1900-01-01 00:05:47,Wow.,wauw .,wow .,,
1900-01-01 00:05:47,1900-01-01 00:05:49,I just don't know what I've done so wrong.,ik weet gewoon niet wat ik verkeerd heb gedaan .,i just don't know what i did wrong .,,
1900-01-01 00:05:49,1900-01-01 00:05:51,"Like, I don't know.",ik weet het niet .,i don't know .,,
1900-01-01 00:05:51,1900-01-01 00:05:56,"I think we've seen a much clearer, uglier side of her.","ik denk dat we veel [UNK] hebben gezien , [UNK] zij .","i think we saw a lot of [UNK] , [UNK] .",,
1900-01-01 00:05:56,1900-01-01 00:05:57,This is the thing.,dit is het ding .,this is the thing .,,
1900-01-01 00:05:57,1900-01-01 00:05:58,I don't think they trust me.,ik denk dat ze me vertrouwen .,i think they trust me .,,
1900-01-01 00:05:58,1900-01-01 00:06:00,"Well, you brought them into a mess.",je hebt ze [UNK] .,you [UNK] them .,,
1900-01-01 00:06:00,1900-01-01 00:06:02,What it comes down to is that she,wat ze [UNK],what they [UNK],,
1900-01-01 00:06:02,1900-01-01 00:06:04,does not treat us as equals.,doe ons niet zo [UNK] .,don't be [UNK] .,,
1900-01-01 00:06:04,1900-01-01 00:06:06,"You talk down to me, you bulldoze me,",je praat met me .,you're talking to me .,,
1900-01-01 00:06:06,1900-01-01 00:06:08,you do not treat me like an equal.,je praat me niet als een [UNK] .,you're not talking like a [UNK] .,,
